date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:15:37	77/77	---MCZ	200	added ('OK')	text/plain	date:Thu,%2029%20Feb%202024%2013:15:36%20GMT	https://sites.google.com/robots.txt		(from )
08:15:37	81995/81995	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Feb%202024%2013:15:36%20GMT	https://sites.google.com/ugcloud.ca/manie-musicale-les-artistes/2024	C:/My%20Web%20Sites/manie%20musicalle/sites.google.com/ugcloud.ca/manie-musicale-les-artistes/2024.html	(from )
08:15:38	18377/18377	---M--	200	added ('OK')	text/javascript	etag:%2236cf15e8ecc0b9ea%22	https://apis.google.com/js/client.js?onload=gapiLoaded	C:/My%20Web%20Sites/manie%20musicalle/apis.google.com/js/clientc932.js	(from https://sites.google.com/ugcloud.ca/manie-musicale-les-artistes/2024)
08:15:39	64568/64568	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Feb%202024%2013:15:38%20GMT	https://sites.google.com/ugcloud.ca/manie-musicale-les-artistes/home	C:/My%20Web%20Sites/manie%20musicalle/sites.google.com/ugcloud.ca/manie-musicale-les-artistes/home.html	(from https://sites.google.com/ugcloud.ca/manie-musicale-les-artistes/2024)
08:15:39	2766301/2766301	---M--	200	added ('OK')	image/png	date:Thu,%2002%20Nov%202023%2022:48:00%20GMT	https://ssl.gstatic.com/atari/images/impression-header.png	C:/My%20Web%20Sites/manie%20musicalle/ssl.gstatic.com/atari/images/impression-header.png	(from https://sites.google.com/ugcloud.ca/manie-musicale-les-artistes/2024)
08:15:40	138432/138432	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Feb%202024%2013:15:39%20GMT	https://sites.google.com/ugcloud.ca/manie-musicale-les-artistes/les-artistes	C:/My%20Web%20Sites/manie%20musicalle/sites.google.com/ugcloud.ca/manie-musicale-les-artistes/les-artistes.html	(from https://sites.google.com/ugcloud.ca/manie-musicale-les-artistes/2024)
08:15:40	67728/67728	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Feb%202024%2013:15:39%20GMT	https://sites.google.com/ugcloud.ca/manie-musicale-les-artistes/2024/nuit-incolore	C:/My%20Web%20Sites/manie%20musicalle/sites.google.com/ugcloud.ca/manie-musicale-les-artistes/2024/nuit-incolore.html	(from https://sites.google.com/ugcloud.ca/manie-musicale-les-artistes/2024)
08:15:40	70471/70471	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Feb%202024%2013:15:39%20GMT	https://sites.google.com/ugcloud.ca/manie-musicale-les-artistes/2023/missy-d	C:/My%20Web%20Sites/manie%20musicalle/sites.google.com/ugcloud.ca/manie-musicale-les-artistes/2023/missy-d.html	(from https://sites.google.com/ugcloud.ca/manie-musicale-les-artistes/2024)
08:15:41	80163/80163	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Feb%202024%2013:15:40%20GMT	https://sites.google.com/ugcloud.ca/manie-musicale-les-artistes/2019/gims	C:/My%20Web%20Sites/manie%20musicalle/sites.google.com/ugcloud.ca/manie-musicale-les-artistes/2019/gims.html	(from https://sites.google.com/ugcloud.ca/manie-musicale-les-artistes/2024)
08:15:41	71638/71638	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Feb%202024%2013:15:40%20GMT	https://sites.google.com/ugcloud.ca/manie-musicale-les-artistes/2023/leflofranco	C:/My%20Web%20Sites/manie%20musicalle/sites.google.com/ugcloud.ca/manie-musicale-les-artistes/2023/leflofranco.html	(from https://sites.google.com/ugcloud.ca/manie-musicale-les-artistes/2024)
08:15:42	68335/68335	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Feb%202024%2013:15:41%20GMT	https://sites.google.com/ugcloud.ca/manie-musicale-les-artistes/2024/mika	C:/My%20Web%20Sites/manie%20musicalle/sites.google.com/ugcloud.ca/manie-musicale-les-artistes/2024/mika.html	(from https://sites.google.com/ugcloud.ca/manie-musicale-les-artistes/2024)
08:15:42	66714/66714	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Feb%202024%2013:15:41%20GMT	https://sites.google.com/ugcloud.ca/manie-musicale-les-artistes/2024/lehko	C:/My%20Web%20Sites/manie%20musicalle/sites.google.com/ugcloud.ca/manie-musicale-les-artistes/2024/lehko.html	(from https://sites.google.com/ugcloud.ca/manie-musicale-les-artistes/2024)
08:15:43	79551/79551	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Feb%202024%2013:15:42%20GMT	https://sites.google.com/ugcloud.ca/manie-musicale-les-artistes/2021/vianney	C:/My%20Web%20Sites/manie%20musicalle/sites.google.com/ugcloud.ca/manie-musicale-les-artistes/2021/vianney.html	(from https://sites.google.com/ugcloud.ca/manie-musicale-les-artistes/2024)
08:15:43	67713/67713	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Feb%202024%2013:15:42%20GMT	https://sites.google.com/ugcloud.ca/manie-musicale-les-artistes/2024/kendji-girac	C:/My%20Web%20Sites/manie%20musicalle/sites.google.com/ugcloud.ca/manie-musicale-les-artistes/2024/kendji-girac.html	(from https://sites.google.com/ugcloud.ca/manie-musicale-les-artistes/2024)
08:15:44	88943/88943	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Feb%202024%2013:15:43%20GMT	https://sites.google.com/ugcloud.ca/manie-musicale-les-artistes/2020/soprano	C:/My%20Web%20Sites/manie%20musicalle/sites.google.com/ugcloud.ca/manie-musicale-les-artistes/2020/soprano.html	(from https://sites.google.com/ugcloud.ca/manie-musicale-les-artistes/2024)
08:15:44	66264/66264	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Feb%202024%2013:15:43%20GMT	https://sites.google.com/ugcloud.ca/manie-musicale-les-artistes/2024/julien-canaby	C:/My%20Web%20Sites/manie%20musicalle/sites.google.com/ugcloud.ca/manie-musicale-les-artistes/2024/julien-canaby.html	(from https://sites.google.com/ugcloud.ca/manie-musicale-les-artistes/2024)
08:15:44	66284/66284	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Feb%202024%2013:15:43%20GMT	https://sites.google.com/ugcloud.ca/manie-musicale-les-artistes/2024/magic-system	C:/My%20Web%20Sites/manie%20musicalle/sites.google.com/ugcloud.ca/manie-musicale-les-artistes/2024/magic-system.html	(from https://sites.google.com/ugcloud.ca/manie-musicale-les-artistes/2024)
08:15:45	66308/66308	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Feb%202024%2013:15:44%20GMT	https://sites.google.com/ugcloud.ca/manie-musicale-les-artistes/2024/les-maryann	C:/My%20Web%20Sites/manie%20musicalle/sites.google.com/ugcloud.ca/manie-musicale-les-artistes/2024/les-maryann.html	(from https://sites.google.com/ugcloud.ca/manie-musicale-les-artistes/2024)
08:15:45	75653/75653	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Feb%202024%2013:15:44%20GMT	https://sites.google.com/ugcloud.ca/manie-musicale-les-artistes/2024/vitaa	C:/My%20Web%20Sites/manie%20musicalle/sites.google.com/ugcloud.ca/manie-musicale-les-artistes/2024/vitaa.html	(from https://sites.google.com/ugcloud.ca/manie-musicale-les-artistes/2024)
08:15:46	67079/67079	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Feb%202024%2013:15:45%20GMT	https://sites.google.com/ugcloud.ca/manie-musicale-les-artistes/2024/claude-b%c3%a9gin	C:/My%20Web%20Sites/manie%20musicalle/sites.google.com/ugcloud.ca/manie-musicale-les-artistes/2024/claude-b%c3%a9gin.html	(from https://sites.google.com/ugcloud.ca/manie-musicale-les-artistes/2024)
08:15:46	67647/67647	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Feb%202024%2013:15:45%20GMT	https://sites.google.com/ugcloud.ca/manie-musicale-les-artistes/2024/claudia-bouvette	C:/My%20Web%20Sites/manie%20musicalle/sites.google.com/ugcloud.ca/manie-musicale-les-artistes/2024/claudia-bouvette.html	(from https://sites.google.com/ugcloud.ca/manie-musicale-les-artistes/2024)
08:15:46	78094/78094	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Feb%202024%2013:15:45%20GMT	https://sites.google.com/ugcloud.ca/manie-musicale-les-artistes/2019/black-m	C:/My%20Web%20Sites/manie%20musicalle/sites.google.com/ugcloud.ca/manie-musicale-les-artistes/2019/black-m.html	(from https://sites.google.com/ugcloud.ca/manie-musicale-les-artistes/2024)
08:15:47	72649/72649	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Feb%202024%2013:15:46%20GMT	https://sites.google.com/ugcloud.ca/manie-musicale-les-artistes/2021/amir	C:/My%20Web%20Sites/manie%20musicalle/sites.google.com/ugcloud.ca/manie-musicale-les-artistes/2021/amir.html	(from https://sites.google.com/ugcloud.ca/manie-musicale-les-artistes/2024)
08:15:47	66247/66247	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Feb%202024%2013:15:46%20GMT	https://sites.google.com/ugcloud.ca/manie-musicale-les-artistes/2024/baladji-kwata	C:/My%20Web%20Sites/manie%20musicalle/sites.google.com/ugcloud.ca/manie-musicale-les-artistes/2024/baladji-kwata.html	(from https://sites.google.com/ugcloud.ca/manie-musicale-les-artistes/2024)
08:15:48	65878/65878	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Feb%202024%2013:15:47%20GMT	https://sites.google.com/ugcloud.ca/manie-musicale-les-artistes/2024/ouidad	C:/My%20Web%20Sites/manie%20musicalle/sites.google.com/ugcloud.ca/manie-musicale-les-artistes/2024/ouidad.html	(from https://sites.google.com/ugcloud.ca/manie-musicale-les-artistes/2024)
08:15:48	67019/67019	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Feb%202024%2013:15:47%20GMT	https://sites.google.com/ugcloud.ca/manie-musicale-les-artistes/2024/anisha-jo	C:/My%20Web%20Sites/manie%20musicalle/sites.google.com/ugcloud.ca/manie-musicale-les-artistes/2024/anisha-jo.html	(from https://sites.google.com/ugcloud.ca/manie-musicale-les-artistes/2024)
08:15:49	84117/84117	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Feb%202024%2013:15:48%20GMT	https://sites.google.com/ugcloud.ca/manie-musicale-les-artistes/2023	C:/My%20Web%20Sites/manie%20musicalle/sites.google.com/ugcloud.ca/manie-musicale-les-artistes/2023.html	(from https://sites.google.com/ugcloud.ca/manie-musicale-les-artistes/home)
